[2022/05/12 12:29:10] - Namespace(alpha=10, batch_size=32, data_dir='./training_data.npy', delta_init='random', early_stop=True, epochs=80, epsilon=8, loss_scale='1.0', lr_max=0.2, lr_min=0.0, lr_schedule='cyclic', master_weights=False, momentum=0.9, opt_level='O2', out_dir='train_alp_output', seed=0, weight_decay=0.0005)
[2022/05/12 12:29:13] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Robust Acc
[2022/05/13 16:57:11] - 55 	 1492.2 	 	 0.1200 	 nan 	 0.2005 	 0.0938
[2022/05/13 17:21:48] - 56 	 1476.9 	 	 0.1150 	 nan 	 0.2005 	 0.2188
[2022/05/13 17:46:41] - 57 	 1492.5 	 	 0.1100 	 nan 	 0.2005 	 0.2812
[2022/05/13 18:11:26] - 58 	 1485.2 	 	 0.1050 	 nan 	 0.2005 	 0.1250
[2022/05/13 18:36:14] - 59 	 1488.4 	 	 0.1000 	 nan 	 0.2005 	 0.1562
[2022/05/13 19:00:59] - 60 	 1484.8 	 	 0.0950 	 nan 	 0.2005 	 0.1250
[2022/05/13 19:25:27] - 61 	 1468.2 	 	 0.0900 	 nan 	 0.2005 	 0.2812
[2022/05/13 19:49:49] - Total train time: 1880.5840 minutes
[2022/05/14 17:39:11] - Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/05/14 17:39:11] - nan 	 	 0.1979 	 nan 	 0.1979
