[2022/05/20 17:10:42] - Namespace(batch_size=32, data_dir='./training_data.npy', epochs=80, epsilon=8, loss_scale='1.0', lr_max=0.04, lr_min=0.0, lr_schedule='cyclic', master_weights=False, minibatch_replays=8, momentum=0.9, opt_level='O2', out_dir='train_free_output', seed=0, weight_decay=0.0005)
[2022/05/20 17:10:59] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Robust Acc
[2022/05/23 09:52:13] - 54 	 1623.3 	 	 0.0250 	 1.5618 	 0.2905 	 0.3438
[2022/05/23 10:20:15] - 55 	 1681.4 	 	 0.0240 	 1.5543 	 0.2939 	 0.3750
[2022/05/23 10:48:20] - 56 	 1684.9 	 	 0.0230 	 1.5610 	 0.2892 	 0.1875
[2022/05/23 11:26:43] - 57 	 2302.7 	 	 0.0220 	 1.5557 	 0.2929 	 0.3750
[2022/05/23 12:13:35] - 58 	 2811.4 	 	 0.0210 	 1.5704 	 0.2791 	 0.2500
[2022/05/23 13:00:54] - 59 	 2838.8 	 	 0.0200 	 1.5665 	 0.2839 	 0.1562
[2022/05/23 13:49:48] - 60 	 2933.5 	 	 0.0190 	 1.5580 	 0.2887 	 0.1875
[2022/05/23 14:38:11] - 61 	 2902.9 	 	 0.0180 	 1.5605 	 0.2864 	 0.3750
[2022/05/23 15:39:30] - 62 	 3678.6 	 	 0.0170 	 1.5658 	 0.2832 	 0.1562
[2022/05/23 17:08:39] - 63 	 5347.9 	 	 0.0160 	 1.5655 	 0.2834 	 0.1562
[2022/05/23 18:38:46] - 64 	 5404.3 	 	 0.0150 	 1.5672 	 0.2786 	 0.3125
[2022/05/23 20:05:38] - 65 	 5210.5 	 	 0.0140 	 1.5679 	 0.2802 	 0.2188
[2022/05/23 21:19:35] - 66 	 4434.9 	 	 0.0130 	 1.5674 	 0.2803 	 0.0938
[2022/05/23 22:51:47] - 67 	 5529.7 	 	 0.0120 	 1.5705 	 0.2754 	 0.2812
[2022/05/24 00:21:05] - 68 	 5355.9 	 	 0.0110 	 1.5706 	 0.2770 	 0.2500
[2022/05/24 01:48:30] - 69 	 5244.9 	 	 0.0100 	 1.5711 	 0.2752 	 0.2500
[2022/05/24 03:14:55] - 70 	 5183.7 	 	 0.0090 	 1.5898 	 0.2568 	 0.1562
